127.0.0.1 - - [16/Feb/2022:04:00:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:00:57 +0530] "GET /Q4/Q4 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:32 +0530] "GET /Q4/index.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:39 +0530] "POST /Q4/Police HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:57 +0530] "POST /Q4/Police HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:58 +0530] "POST /Q4/Police HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:59 +0530] "POST /Q4/Police HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:59 +0530] "POST /Q4/Police HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:01:59 +0530] "POST /Q4/Police HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:02:11 +0530] "GET /Q4/index.html HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:02:16 +0530] "POST /Q4/Q4 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:03:06 +0530] "GET /Q4/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:03:13 +0530] "POST /Q4/Q4 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:03:26 +0530] "GET /Q4/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:04:03:33 +0530] "POST /Q4/Q4 HTTP/1.1" 200 14
